HASC_1,topic_21,topic_22,topic_23,topic_24,topic_18,topic_20,topic_19,topic_17,topic_16,topic_15
France,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Performance,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability,Charging Functionality and Reliability,Charging Functionality and Reliability
United Kin,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability
Greece,Location and Availability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Performance,Charging Performance,Charging Functionality and Reliability,Environment and Service Experience,Charging Functionality and Reliability,Pricing and Payment,
Croatia,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability
Hungary,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Performance,
Ireland,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability
Iceland,Location and Availability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Pricing and Payment,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability
Italy,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability,Charging Performance,Charging Functionality and Reliability
Liechtenst,Charging Functionality and Reliability,Charging Performance,Charging Performance,,Location and Availability,Location and Availability,Charging Functionality and Reliability,Environment and Service Experience,Charging Performance,
Lithuania,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Performance,
Luxembourg,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Pricing and Payment,Charging Performance,Charging Functionality and Reliability,Location and Availability,Charging Performance,Charging Performance,Location and Availability
Latvia,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Performance,Charging Functionality and Reliability,Charging Functionality and Reliability,Pricing and Payment,Pricing and Payment,,
Malta,,,Pricing and Payment,Location and Availability,,,Location and Availability,,,
Netherland,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Pricing and Payment,Charging Functionality and Reliability,Location and Availability
Norway,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability
Poland,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Performance,Charging Performance,Charging Performance
Portugal,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability,Location and Availability
Romania,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability,,
Slovakia,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability,Location and Availability,Pricing and Payment
Slovenia,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability
Sweden,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability
